d,sigma,omega,log_ratio_zo_over_pw,c_star
1,0.04486152311120365,16.457795021028378,1.2069382588083393,1.2013877434506741
1,0.04486152311120365,22.22012265112078,0.5053156519018779,1.2013877434506741
1,0.04486152311120365,29.99999999999996,-0.3098418020435228,1.2013877434506741
1,0.04486152311120365,40.503826829893846,-1.0416367111553648,1.2013877434506741
1,0.04486152311120365,54.68533292886767,-1.7517452680598897,1.2013877434506741
1,0.04486152311120365,73.83217516953168,-2.3625477021099646,1.2013877434506741
1,0.04486152311120365,99.68285458470345,-2.960213289075587,1.2013877434506741
1,0.04486152311120365,134.58456933361077,-3.563438300822284,1.2013877434506741
1,0.04486152311120365,181.70633634214732,-4.163078154480975,1.2013877434506741
1,0.04486152311120365,245.3267327032263,-4.763685131033716,1.2013877434506741
1,0.04486152311120365,331.2223832718382,-5.364380464099906,1.2013877434506741
1,0.04486152311120365,447.1924684742427,-5.966587665086617,1.2013877434506741
1,0.04486152311120365,603.766876757117,-6.565676933852407,1.2013877434506741
1,0.04486152311120365,815.1623007265384,-7.1664135809035905,1.2013877434506741
1,0.04486152311120365,1100.5730888961868,-7.765220118969024,1.2013877434506741
1,0.04486152311120365,1485.9140602097523,-8.366490084358325,1.2013877434506741
1,0.04486152311120365,2006.1735259613445,-8.963328320159016,1.2013877434506741
1,0.06056877878071584,0.1,10.662500607292202,1.2013877434506741
1,0.06056877878071584,0.13501275609964633,9.891290233599651,1.2013877434506741
1,0.06056877878071584,0.18228444309622582,9.479945685088744,1.2013877434506741
1,0.06056877878071584,0.24610725056510596,9.047073505638416,1.2013877434506741
1,0.06056877878071584,0.33227618194901193,8.773234429811826,1.2013877434506741
1,0.06056877878071584,0.4486152311120365,8.130329460777102,1.2013877434506741
1,0.06056877878071584,0.6056877878071585,7.259748892834786,1.2013877434506741
1,0.06056877878071584,0.8177557756774221,6.931897975385154,1.2013877434506741
1,0.06056877878071584,1.1040746109061288,5.919936384765198,1.2013877434506741
1,0.06056877878071584,1.4906415615808106,5.089334294491809,1.2013877434506741
1,0.06056877878071584,2.012556255857059,5.10879195215028,1.2013877434506741
1,0.06056877878071584,2.717207669088465,4.262109033452264,1.2013877434506741
1,0.06056877878071584,3.6685769629872937,3.8974797545318633,1.2013877434506741
1,0.06056877878071584,4.953046867365847,2.887260184912234,1.2013877434506741
1,0.06056877878071584,6.687245086537825,2.7810664232408016,1.2013877434506741
1,0.06056877878071584,9.028633898472895,1.8841350473470262,1.2013877434506741
1,0.06056877878071584,12.189807464475196,1.2814043612401744,1.2013877434506741
1,0.06056877878071584,16.457795021028378,0.5032316535358661,1.2013877434506741
1,0.06056877878071584,22.22012265112078,-0.29857136251709704,1.2013877434506741
1,0.06056877878071584,29.99999999999996,-1.0620675100438648,1.2013877434506741
1,0.06056877878071584,40.503826829893846,-1.7433345859210143,1.2013877434506741
1,0.06056877878071584,54.68533292886767,-2.3619035459384197,1.2013877434506741
1,0.06056877878071584,73.83217516953168,-2.9601789004699643,1.2013877434506741
1,0.06056877878071584,99.68285458470345,-3.563443860022289,1.2013877434506741
1,0.06056877878071584,134.58456933361077,-4.164833320203971,1.2013877434506741
1,0.06056877878071584,181.70633634214732,-4.761261185417297,1.2013877434506741
1,0.06056877878071584,245.3267327032263,-5.367287617186531,1.2013877434506741
1,0.06056877878071584,331.2223832718382,-5.9605664272574,1.2013877434506741
1,0.06056877878071584,447.1924684742427,-6.564965401985398,1.2013877434506741
1,0.06056877878071584,603.766876757117,-7.1631907549594676,1.2013877434506741
1,0.06056877878071584,815.1623007265384,-7.764491238251153,1.2013877434506741
1,0.06056877878071584,1100.5730888961868,-8.364376493909939,1.2013877434506741
1,0.06056877878071584,1485.9140602097523,-8.965337411215675,1.2013877434506741
1,0.06056877878071584,2006.1735259613445,-9.56690486180642,1.2013877434506741
1,0.0817755775677422,0.1,10.063274353551417,1.2013877434506741
1,0.0817755775677422,0.13501275609964633,9.296385746085432,1.2013877434506741
1,0.0817755775677422,0.18228444309622582,8.880165003980903,1.2013877434506741
1,0.0817755775677422,0.24610725056510596,8.445205386581087,1.2013877434506741
1,0.0817755775677422,0.33227618194901193,8.164397305785544,1.2013877434506741
1,0.0817755775677422,0.4486152311120365,7.533586121146539,1.2013877434506741
1,0.0817755775677422,0.6056877878071585,6.665490170957296,1.2013877434506741
1,0.0817755775677422,0.8177557756774221,6.335651752543394,1.2013877434506741
1,0.0817755775677422,1.1040746109061288,5.338251952590986,1.2013877434506741
1,0.0817755775677422,1.4906415615808106,4.535954797890153,1.2013877434506741
1,0.0817755775677422,2.012556255857059,4.512307405834003,1.2013877434506741
1,0.0817755775677422,2.717207669088465,3.6855392485892327,1.2013877434506741
1,0.0817755775677422,3.6685769629872937,3.2901631081476927,1.2013877434506741
1,0.0817755775677422,4.953046867365847,2.3487783937944613,1.2013877434506741
1,0.0817755775677422,6.687245086537825,2.1036660749040306,1.2013877434506741
1,0.0817755775677422,9.028633898472895,1.2341016082476748,1.2013877434506741
1,0.0817755775677422,12.189807464475196,0.5087722562581508,1.2013877434506741
1,0.0817755775677422,16.457795021028378,-0.2665550043859747,1.2013877434506741
1,0.0817755775677422,22.22012265112078,-1.0572546439980623,1.2013877434506741
1,0.0817755775677422,29.99999999999996,-1.7464743887614584,1.2013877434506741
1,0.0817755775677422,40.503826829893846,-2.3602261595715706,1.2013877434506741
1,0.0817755775677422,54.68533292886767,-2.966411434798236,1.2013877434506741
