V_N128,V_N64,abs_diff,arm,bank,flagged,rel_diff,seed,task
0.2614763724088626,0.261476106483226,2.659256366221996e-07,PW,wml_rollout,False,1.0170159321561176e-06,307,leap
0.07825936335722937,0.07825936297067643,3.8655294243294946e-10,PW,neutral,False,4.939382661068388e-09,308,leap
0.0907211657365991,0.09072116635052115,6.139220520839928e-10,PW,pw_rollout,False,6.767131430679157e-09,308,leap
0.0758942983412736,0.07589429832675304,1.4520565305708999e-11,PW,wml_rollout,False,1.9132616840878386e-10,308,leap
0.5632735462601411,0.5632886844030968,1.513814295561744e-05,WML05,neutral,False,2.6875295415748266e-05,301,leap
0.6045230951110908,0.6045424714171806,1.9376306089835538e-05,WML05,pw_rollout,False,3.205221809809405e-05,301,leap
0.5369878196705246,0.5369989921293162,1.1172458791675055e-05,WML05,wml_rollout,False,2.080579555515813e-05,301,leap
0.3971665542300964,0.3971719109510075,5.356720911120494e-06,WML05,neutral,False,1.3487341403921704e-05,302,leap
0.5032392151973404,0.5032418251769927,2.609979652290484e-06,WML05,pw_rollout,False,5.186359833398528e-06,302,leap
0.39801100204612866,0.39801657101950827,5.568973379610487e-06,WML05,wml_rollout,False,1.3992008640417066e-05,302,leap
0.5827155844721225,0.5827135323466527,2.052125469775845e-06,WML05,neutral,False,3.521658806559721e-06,303,leap
0.6814467330765205,0.6814767461894108,3.0013112890303617e-05,WML05,pw_rollout,False,4.404322661406524e-05,303,leap
0.5175807826556081,0.51757882090658,1.961749028112081e-06,WML05,wml_rollout,False,3.790227716814989e-06,303,leap
0.49982037043336575,0.4998130137493217,7.356684044057538e-06,WML05,neutral,False,1.471865589967647e-05,304,leap
0.5624389054326745,0.5624598209639111,2.0915531236620488e-05,WML05,pw_rollout,False,3.7187205640638485e-05,304,leap
0.44425636306504784,0.444252128436503,4.234628544819152e-06,WML05,wml_rollout,False,9.531947985175216e-06,304,leap
0.6458046385203414,0.6458132511933719,8.61267303042812e-06,WML05,neutral,False,1.3336344331873113e-05,305,leap
0.6614504802846999,0.661449718933994,7.61350705924535e-07,WML05,pw_rollout,False,1.1510320554863553e-06,305,leap
0.6298950044820696,0.629899126102376,4.1216203063854095e-06,WML05,wml_rollout,False,6.54334496552232e-06,305,leap
0.3955807617246478,0.3955776759637583,3.085760889476319e-06,WML05,neutral,False,7.80058382016117e-06,306,leap
0.5079522265997698,0.5079490259152277,3.2006845420706753e-06,WML05,pw_rollout,False,6.301152695984906e-06,306,leap
0.3735551072670624,0.37355149289573153,3.614371330895594e-06,WML05,wml_rollout,False,9.675604109226122e-06,306,leap
0.5434401878469675,0.5434475738761381,7.386029170608488e-06,WML05,neutral,False,1.359124579996721e-05,307,leap
0.6309809394503509,0.6310099850554121,2.904560506111764e-05,WML05,pw_rollout,False,4.6032460325060434e-05,307,leap
0.5218673936752122,0.5218739215146929,6.527839480741093e-06,WML05,wml_rollout,False,1.250861724617296e-05,307,leap
0.5099553724652487,0.5099763961403525,2.1023675103815087e-05,WML05,neutral,False,4.1226499884061446e-05,308,leap
0.5754280622946616,0.5754719556876893,4.3893393027683025e-05,WML05,pw_rollout,False,7.627954891988979e-05,308,leap
0.4764828076177546,0.47650571598782526,2.290837007068447e-05,WML05,wml_rollout,False,4.807806221848426e-05,308,leap
0.6050395249693502,0.6050558912947079,1.6366325357730638e-05,WML01,neutral,False,2.705001025934581e-05,301,leap
0.6581215880173416,0.6581503709348566,2.8782917515068895e-05,WML01,pw_rollout,False,4.37349542077481e-05,301,leap
0.6494171288994122,0.6494454799835899,2.835108417775789e-05,WML01,wml_rollout,False,4.365620017723489e-05,301,leap
0.3280830836590401,0.32808154101593034,1.5426431097531612e-06,WML01,neutral,False,4.701989180753833e-06,302,leap
0.4250843268921689,0.42508095672152724,3.3701706416700006e-06,WML01,pw_rollout,False,7.928240183094097e-06,302,leap
0.30082324945446215,0.30082211318637003,1.1362680921167545e-06,WML01,wml_rollout,False,3.7771950611442347e-06,302,leap
0.6998448249919207,0.6999120686884641,6.724369654342865e-05,WML01,neutral,False,9.60837233371054e-05,303,leap
0.6923305395961439,0.6924153174497333,8.477785358940171e-05,WML01,pw_rollout,False,0.00012245285848412095,303,leap
0.7020159680034697,0.7020656656758798,4.969767241014278e-05,WML01,wml_rollout,False,7.07927948583317e-05,303,leap
0.4590162176587215,0.4590290736139376,1.2855955216051207e-05,WML01,neutral,False,2.8007627446421962e-05,304,leap
0.6229808959639546,0.6230007390477071,1.9843083752579815e-05,WML01,pw_rollout,False,3.185183346894787e-05,304,leap
0.5001528841728553,0.5001577796457272,4.8954728718575424e-06,WML01,wml_rollout,False,9.787952897549708e-06,304,leap
0.4270181215290692,0.4270298022041737,1.1680675104486227e-05,WML01,neutral,False,2.7354050134125434e-05,305,leap
0.525010067214115,0.5250321519408606,2.2084726745585925e-05,WML01,pw_rollout,False,4.206533955201111e-05,305,leap
0.4427204652896843,0.4427303262845823,9.860994898025499e-06,WML01,wml_rollout,False,2.2273636913471296e-05,305,leap
0.45726975185890684,0.4572810154026034,1.1263543696571343e-05,WML01,neutral,False,2.4632164386081618e-05,306,leap
