condition,task,arm,d,seed,state,eta,eta_src,n_ubar,n_c,n_lin,n_v,R_exact,R_linear,norm_ratio,cosine_linear,residual_linear,cos_ubar_c,cos_v_c,cross_fraction,direction_change,logit_spread,q_sd,ess,w_max,n_ubar_raw
walker,walker,A,6,106,789,0.295911076703408,recomputed_counterfactual,0.41287622032571675,0.7757241597503582,0.8802309706707002,0.9464249676633377,0.5322461794383914,0.4690544119467335,0.8812734220864856,0.826438267955633,0.6419021816330029,0.19280976417090584,0.9037491144542512,0.15993669485374287,0.09625088554574879,1.0953847167276967,0.32413647093135,12.719643994868552,0.20612878089180975,0.3388973227682995
walker,walker,A,6,106,805,0.295911076703408,recomputed_counterfactual,0.6058188014185858,0.22714829350246782,0.2444621770606735,0.7350525751626078,2.66706296611177,2.4781698694671626,0.9291756141284887,0.9988048388762607,0.09155565348890146,0.4421513543126671,0.6734374026351327,0.290697108015375,0.32656259736486726,0.26337776742476193,0.07793639873840028,30.082389079290397,0.04891787178206461,0.6058188014185854
walker,walker,A,6,106,822,0.295911076703408,recomputed_counterfactual,0.5331209051823592,0.3127114884417799,0.32847002179693974,0.5619088577707388,1.7048331285721536,1.6230428039192926,0.9520244396432201,0.9968497611373324,0.09569458621729979,-0.1987391429380157,0.3679591339488325,-0.17346519461437446,0.6320408660511675,0.3641409817063848,0.10775334996857251,28.54446358334086,0.06574587249912943,0.533120905182363
walker,walker,A,6,106,838,0.295911076703408,recomputed_counterfactual,0.6209995659101344,1.1008070363904543,0.7196657094590507,1.442249919198362,0.5641311741118838,0.8629000350399586,1.5296088474416345,0.9630590084617865,0.4101000390241185,0.3530337542266465,0.9152649807396337,0.3021555175704511,0.0847350192603663,0.7733971502584451,0.22885678345232366,10.538714673088394,0.2040170577604616,0.6209995659101346
walker,walker,A,6,106,854,0.295911076703408,recomputed_counterfactual,0.4817543508670835,0.7063114491226,1.2109589617601837,0.764471073486451,0.6820707089837639,0.39782880021502454,0.5832662141542444,0.9969914337934686,0.7216662713854556,-0.21534030711460428,0.7882185999595771,-0.20048493827731545,0.2117814000404229,1.290305765021255,0.3818157682040544,20.51346747544648,0.07009495898035532,0.4817543508670786
walker,walker,A,6,106,870,0.295911076703408,recomputed_counterfactual,0.5870432114165828,1.0574523160547038,1.5124522686611266,1.3979734189632642,0.555148636494791,0.388139991972021,0.6991640913006113,0.9932176391930555,0.4522628745499874,0.39588284402817947,0.9226589251706159,0.3359967888896216,0.07734107482938413,1.5383155079910882,0.4552045982791938,11.94374924450253,0.21231197373068691,0.5870432114165834
walker,walker,A,6,106,886,0.295911076703408,recomputed_counterfactual,0.29607648891513966,0.22281840437992267,0.2152921370564723,0.4070472706253557,1.3287793247499318,1.3752313157451819,1.0349583938610876,0.9977906689736411,0.07355498277824396,0.21507955616647975,0.7038455355982778,0.20667315316507917,0.2961544644017222,0.20786926431140876,0.06151081781593625,30.64260191950026,0.046949350476775877,0.279064771508541
walker,walker,A,6,106,902,0.295911076703408,recomputed_counterfactual,0.5335423485618582,1.611011767320271,2.1697097808048884,1.6737758328078884,0.3311846377441501,0.24590493773950092,0.7425010393426433,0.9660737783017216,0.46005814934126904,-0.04566427362465291,0.9479453057124609,-0.027256977563009804,0.05205469428753906,2.064385059969827,0.6108744058261029,6.834289130344441,0.2613609216967886,0.5335423485618579
walker,walker,A,6,106,918,0.295911076703408,recomputed_counterfactual,0.6697780699714938,2.2932017843487853,2.4243247446778646,2.682685066253836,0.29207114460771394,0.2762740723748275,0.9459136154849385,0.5138197588334051,1.01549421898071,0.48485803470991673,0.9758689515883912,0.26096437212854173,0.024131048411608846,2.403986178121997,0.711366138348191,2.086397594377976,0.6710854644671178,0.669602810859837
walker,walker,A,6,106,934,0.295911076703408,recomputed_counterfactual,0.36064297987488875,0.21005669512928624,0.21514742098700304,0.5252285118760774,1.7168840043456,1.6762598325312892,0.9763384295505886,0.9979478411143532,0.06921792831904093,0.6710922146294338,0.8607327686177627,0.5837273387645977,0.1392672313822373,0.1817385014368102,0.053778435638630454,31.035549482902134,0.04440887804808654,0.36064297987488686
walker,walker,A,6,106,950,0.295911076703408,recomputed_counterfactual,0.41582134470209453,0.359091025826296,0.3425867919080435,0.5705191768744187,1.1579831151282596,1.213769341149891,1.0481753363148758,0.9912927485477866,0.13684494545816658,0.07915462650531443,0.6871025987359847,0.0783106892287934,0.31289740126401533,0.3434906985795706,0.10164270245428667,27.5868299200273,0.06925326956232086,0.4158213447020947
walker,walker,A,6,106,967,0.295911076703408,recomputed_counterfactual,0.31455021484662293,0.8619904027343995,0.8130848244284539,0.6879883930846566,0.36491150463908206,0.3868602701659628,1.0601481872930822,0.991927053839811,0.13582627787102294,-0.6798005836160939,0.9421074390499811,-0.4378321947371072,0.057892560950018934,0.7308910088047942,0.21627874536826777,18.580410487128596,0.1036274162593649,0.31455021484662227
walker,walker,A,6,106,983,0.295911076703408,recomputed_counterfactual,0.31521321339837216,0.1408402904832977,0.14107721351332334,0.438522253696371,2.2380897704376386,2.2343311548776024,0.9983206144697379,0.9995878554215477,0.028783773508120673,0.8233682831502923,0.9130137625868804,0.613332694351935,0.08698623741311962,0.1218656156418159,0.03606138553769467,31.534516208530544,0.039334090154460204,0.3152132133983892
walker,walker,A,6,106,999,0.295911076703408,recomputed_counterfactual,0.48582215132113116,0.9922239579163628,0.6868127291727131,0.6569278493932363,0.48962953116033586,0.7073575236522064,1.4446790453492062,0.9805330729720949,0.34884607231987913,-0.8183658832670315,0.905188727329785,-0.646421101573748,0.09481127267021505,0.6875573944939006,0.20345584890007887,13.628748260133696,0.15881193529919235,0.48582215132112266
walker,walker,A,6,106,1015,0.295911076703408,recomputed_counterfactual,0.49056025523254804,0.10650236504447114,0.11272209525547806,0.4607062559543038,4.606097292047022,4.351944080850962,0.9448224396658428,0.9997894351656684,0.06209891253322169,-0.38033528697035035,-0.1738092534467142,-0.15771074051593334,1.1738092534467142,0.10838805752048854,0.03207322680267913,31.67184447431947,0.035607026743508824,0.49056025523254737
walker,walker,A,6,106,1031,0.295911076703408,recomputed_counterfactual,0.9091314588284869,0.22188648908200986,0.2506795951675285,0.9191569434596187,4.097281734393355,3.626667173358446,0.8851398093763418,0.9976167328954669,0.1490772473906378,-0.07660005421185462,0.16563762166339327,-0.035288619916046746,0.8343623783366068,0.23555743671670698,0.06970405472433565,30.794887490361162,0.04174893850946849,0.479290739394387
walker,walker,A,6,106,1047,0.295911076703408,recomputed_counterfactual,0.1910724776590037,0.5993024387118232,0.8404476073172505,0.6124450380503113,0.3188247958232701,0.2273460903395144,0.7130753106955858,0.9806737079733919,0.4648787521042159,-0.08987487491500784,0.9505013307572894,-0.052020801780886056,0.049498669242710625,0.8755173287438538,0.2590752754210856,21.965969542204608,0.09625047572043186,0.19107247765900393
walker,walker,A,6,106,1063,0.295911076703408,recomputed_counterfactual,0.24071255376195855,0.5515514294238477,0.6588642072341222,0.6325944113811593,0.43642812060694175,0.36534471157887305,0.8371245901160649,0.9990263338612834,0.2004541781609309,0.14320067541169518,0.926378132906926,0.10499521643438885,0.07362186709307394,0.5721081333915944,0.1692931337426844,26.09370273997216,0.05996903286449523,0.24977690798294663
walker,walker,A,6,106,1079,0.295911076703408,recomputed_counterfactual,0.435166301949015,0.815640977051197,0.902383882326826,0.9356538878272754,0.5335267773349824,0.48224077409986804,0.9038736096960603,0.9796457870968049,0.23737718955894038,0.029312440433907343,0.8853666661713759,0.024347428283347163,0.11463333382862406,0.9366077685428285,0.27715261323828416,18.313557008237023,0.1127663695247725,0.43516630194901385
walker,walker,A,6,106,1096,0.295911076703408,recomputed_counterfactual,0.24466434522383942,1.22928380033974,1.381914994579586,1.1229000343339834,0.19902999222475878,0.17704731925142436,0.8895509529606268,0.915789063798028,0.4524930523124521,-0.5155154291320373,0.982416530134554,-0.19738698533040158,0.01758346986544601,1.4242425237100866,0.4214491386778307,8.35872759922414,0.2347693175370417,0.24466434522385302
walker,walker,A,6,106,1112,0.295911076703408,recomputed_counterfactual,0.3373587157831321,0.8617070901703038,1.0458406813045267,1.0545705291459193,0.39150045256801425,0.3225718044951225,0.8239372454843042,0.9765447268640733,0.3203057083890683,0.4399124865937274,0.9578452780418633,0.2986734219480442,0.04215472195813674,1.0352119050086765,0.30633066942730264,18.601015859950973,0.08318624384895154,0.3373587157831375
walker,walker,A,6,106,1128,0.295911076703408,recomputed_counterfactual,1.5565679465770168,2.9624916267944137,6.799780374778694,3.1905325932728466,0.5254252644962873,0.22891444440622072,0.43567460469491937,0.5979871199752792,1.8770327308328845,-0.11057162495166224,0.8745810606909836,-0.09105620772844703,0.12541893930901638,7.218859801267075,2.1361405763638914,1.6147777267616468,0.781525561435182,0.3014843509484442
walker,walker,A,6,106,1144,0.295911076703408,recomputed_counterfactual,0.4083067719447395,0.4832440814057156,0.6188462612482256,0.7430432567368435,0.8449286554243255,0.6597870868937894,0.7808790513337215,0.9692833804921017,0.39675279302172195,0.38485786287838064,0.8618396671378946,0.3794580729189158,0.13816033286210538,0.6310773293946456,0.18674277202428008,26.53547430425572,0.0555765479367186,0.4083067719447398
