task,seed,law,law_arm,critic,operator,D,D_se_states,raw_norm_median,n_zero_norm,saturation,M,R,S_eval,u_sha256
walker,308,A,PW,PW,PW-1,0.28326407074928284,0.01478502620011568,0.43299511075019836,0,0.01139017753303051,1,200,128,54bb88e4f883d512002227b2a5eff8b00e0af6fe61c4a0517132041ebb5e3a81
walker,308,A,PW,PW,ZO-32,0.21541598439216614,0.00958657544106245,0.402942419052124,0,0.01139017753303051,32,200,128,54bb88e4f883d512002227b2a5eff8b00e0af6fe61c4a0517132041ebb5e3a81
walker,308,A,PW,PW,WML-32,0.29659581184387207,0.0030257883481681347,1.011638879776001,0,0.01139017753303051,32,200,128,54bb88e4f883d512002227b2a5eff8b00e0af6fe61c4a0517132041ebb5e3a81
walker,308,A,PW,WML,PW-32,0.0090634198859334,0.0008485113503411412,0.15581390261650085,0,0.01139017753303051,32,200,128,54bb88e4f883d512002227b2a5eff8b00e0af6fe61c4a0517132041ebb5e3a81
walker,308,A,PW,WML,PW-1,0.20030154287815094,0.012038213200867176,0.15463490784168243,0,0.01139017753303051,1,200,128,54bb88e4f883d512002227b2a5eff8b00e0af6fe61c4a0517132041ebb5e3a81
walker,308,A,PW,WML,ZO-32,0.20419451594352722,0.007944480516016483,0.16488690674304962,0,0.01139017753303051,32,200,128,54bb88e4f883d512002227b2a5eff8b00e0af6fe61c4a0517132041ebb5e3a81
walker,308,A,PW,WML,WML-32,0.3373597264289856,0.005188741721212864,1.0754549503326416,0,0.01139017753303051,32,200,128,54bb88e4f883d512002227b2a5eff8b00e0af6fe61c4a0517132041ebb5e3a81
walker,308,B,WML,PW,PW-32,0.14100679755210876,0.018171560019254684,0.03505987673997879,93,0.5591329336166382,32,200,128,54bb88e4f883d512002227b2a5eff8b00e0af6fe61c4a0517132041ebb5e3a81
walker,308,B,WML,PW,PW-1,0.6596925258636475,0.02136450633406639,0.031138118356466293,1025,0.5591329336166382,1,200,128,54bb88e4f883d512002227b2a5eff8b00e0af6fe61c4a0517132041ebb5e3a81
walker,308,B,WML,PW,ZO-32,0.5936757326126099,0.028201807290315628,0.06973469257354736,0,0.5591329336166382,32,200,128,54bb88e4f883d512002227b2a5eff8b00e0af6fe61c4a0517132041ebb5e3a81
walker,308,B,WML,PW,WML-32,0.38469648361206055,0.0047749364748597145,0.9186477661132812,0,0.5591329336166382,32,200,128,54bb88e4f883d512002227b2a5eff8b00e0af6fe61c4a0517132041ebb5e3a81
walker,308,B,WML,WML,PW-32,0.15579509735107422,0.017000695690512657,0.026302583515644073,93,0.5591329336166382,32,200,128,54bb88e4f883d512002227b2a5eff8b00e0af6fe61c4a0517132041ebb5e3a81
walker,308,B,WML,WML,PW-1,0.683862566947937,0.018736952915787697,0.015719544142484665,1025,0.5591329336166382,1,200,128,54bb88e4f883d512002227b2a5eff8b00e0af6fe61c4a0517132041ebb5e3a81
walker,308,B,WML,WML,ZO-32,0.6378576755523682,0.02487393654882908,0.04502726346254349,0,0.5591329336166382,32,200,128,54bb88e4f883d512002227b2a5eff8b00e0af6fe61c4a0517132041ebb5e3a81
walker,308,B,WML,WML,WML-32,0.3772723078727722,0.00462888041511178,0.906313955783844,0,0.5591329336166382,32,200,128,54bb88e4f883d512002227b2a5eff8b00e0af6fe61c4a0517132041ebb5e3a81
