task,cell,seed,coord,mean_FH,median_FH,frac_pos,median_sigma,E_sech2,two_s2_E_sech2
g1,PW_ent,301,12,0.00020291713008191437,0.00020371237769722939,1.0,0.10004672408103943,0.8478773236274719,0.022191660478711128
g1,PW_ent,301,13,0.00020184136519674212,0.00020302963093854487,1.0,0.11294389516115189,0.8359751105308533,0.027375465258955956
g1,PW_ent,301,14,0.00020345205848570913,0.00020362556097097695,1.0,0.10027336329221725,0.8699486255645752,0.019613994285464287
g1,PW_ent,301,15,0.00019458441238384694,0.00019938952755182981,0.9947916666666666,0.15522804856300354,0.8036076426506042,0.06234504655003548
g1,PW_ent,301,16,0.00018961071327794343,0.00019388450891710818,0.9947916666666666,0.20658081769943237,0.7880727648735046,0.08631192892789841
g1,PW_ent,301,17,0.00017692672554403543,0.0001809608656913042,0.9947916666666666,0.2869165539741516,0.7925276756286621,0.14743304252624512
g1,PW_ent,301,18,0.00018054305110126734,0.0001830384717322886,1.0,0.2813948392868042,0.772655725479126,0.13000686466693878
g1,PW_ent,301,19,0.00013149493315722793,0.0001390402321703732,0.9895833333333334,0.5171786546707153,0.6614159941673279,0.3663578927516937
g1,PW_ent,301,20,0.00011366072430973873,0.00011300860205665231,0.9895833333333334,0.581713080406189,0.6601216793060303,0.45229658484458923
g1,PW_ent,301,21,0.00013366808707360178,0.00013520897482521832,1.0,0.5184850692749023,0.6583396792411804,0.35588589310646057
g1,PW_ent,301,22,0.0001947428099811077,0.00019825610797852278,1.0,0.17220009863376617,0.77409428358078,0.06158171594142914
g1,PW_ent,301,23,0.00018261039804201573,0.0001871343411039561,1.0,0.2755696773529053,0.7226859927177429,0.12004480510950089
g1,PW_ent,301,24,0.00017059948004316539,0.00017881870735436678,0.984375,0.31735119223594666,0.7551155090332031,0.17792260646820068
g1,PW_ent,301,25,0.0001843548525357619,0.00018787317094393075,1.0,0.24568147957324982,0.8024014830589294,0.11163872480392456
g1,PW_ent,301,26,0.0001443373184883967,0.00014931525220163167,0.984375,0.46553587913513184,0.6788134574890137,0.30447351932525635
g1,PW_ent,301,27,0.00012527812214102596,0.00012776596122421324,1.0,0.571152925491333,0.6397116780281067,0.3963150978088379
g1,PW_ent,301,28,0.00013730338832829148,0.00014011829625815153,0.9895833333333334,0.499019980430603,0.6695572733879089,0.33836832642555237
g1,PW_ent,302,0,0.00020178947306703776,0.00020321522606536746,1.0,0.11358486115932465,0.7658085823059082,0.027625491842627525
g1,PW_ent,302,1,0.00019878770399373025,0.0002012017066590488,1.0,0.14680537581443787,0.7008264660835266,0.0420902781188488
g1,PW_ent,302,2,0.00020206444605719298,0.0002035725919995457,0.9947916666666666,0.10018113255500793,0.8316791653633118,0.026300514116883278
g1,PW_ent,302,3,0.00019956512551289052,0.00020163771114312112,1.0,0.4458417296409607,0.265193909406662,0.038344115018844604
g1,PW_ent,302,4,0.0001860587508417666,0.00018815870862454176,1.0,0.28502750396728516,0.5877522230148315,0.10342804342508316
g1,PW_ent,302,5,0.00012892800441477448,0.00012692733434960246,1.0,0.5477592945098877,0.6276284456253052,0.3787271976470947
g1,PW_ent,302,6,0.00020195689285174012,0.00020331470295786858,1.0,0.10904374718666077,0.7690777778625488,0.02681882120668888
g1,PW_ent,302,7,0.00019644743588287383,0.00019871091353707016,0.9947916666666666,0.17397929728031158,0.6890258193016052,0.053367454558610916
g1,PW_ent,302,8,0.000202262875973247,0.00020361985662020743,1.0,0.10012944042682648,0.8381630778312683,0.025344396010041237
g1,PW_ent,302,9,0.0002003375702770427,0.00020117315580137074,1.0,0.35068023204803467,0.29578885436058044,0.034621838480234146
g1,PW_ent,302,10,0.00017827101692091674,0.0001826226944103837,1.0,0.36379125714302063,0.5618898272514343,0.14095528423786163
g1,PW_ent,302,11,0.00013017481251154095,0.00012844259617850184,0.9947916666666666,0.5413787364959717,0.6332765817642212,0.3727191686630249
g1,PW_ent,302,12,0.00020323164062574506,0.00020374558516778052,1.0,0.1000293642282486,0.8275639414787292,0.02067609876394272
g1,PW_ent,302,13,0.00020188708731438965,0.00020306819351390004,1.0,0.11042562127113342,0.855185329914093,0.027155203744769096
g1,PW_ent,302,14,0.0002031384501606226,0.0002036539081018418,1.0,0.10011689364910126,0.8592261672019958,0.02112518437206745
g1,PW_ent,302,15,0.00019417201110627502,0.00019723171135410666,0.9947916666666666,0.17724508047103882,0.772574245929718,0.0643322691321373
g1,PW_ent,302,16,0.00018691814329940826,0.00018814778013620526,1.0,0.2618047595024109,0.7182747721672058,0.09928679466247559
g1,PW_ent,302,17,0.00017109363398049027,0.00017920261598192155,0.9895833333333334,0.3074319362640381,0.7685286402702332,0.17554129660129547
g1,PW_ent,302,18,0.00018037795962300152,0.0001853891444625333,0.9947916666666666,0.26030856370925903,0.8150284886360168,0.13080240786075592
g1,PW_ent,302,19,0.00014370831195265055,0.0001476789329899475,0.9895833333333334,0.47438281774520874,0.6700608730316162,0.3075045347213745
g1,PW_ent,302,20,0.00013079594646114856,0.00012846296885982156,0.9947916666666666,0.542252779006958,0.646994411945343,0.3697260916233063
g1,PW_ent,302,21,0.00013735894754063338,0.0001355753920506686,0.9947916666666666,0.5144467353820801,0.6703402400016785,0.3381005823612213
g1,PW_ent,302,22,0.00019403360784053802,0.00019931583665311337,0.9947916666666666,0.15724091231822968,0.8062276840209961,0.06499919295310974
g1,PW_ent,302,23,0.00018889464263338596,0.00019190061721019447,1.0,0.23526215553283691,0.7406256794929504,0.08976254612207413
g1,PW_ent,302,24,0.00017306346853729337,0.0001780007005436346,0.984375,0.3073199987411499,0.7994029521942139,0.16604918241500854
g1,PW_ent,302,25,0.0001831032132031396,0.0001875453453976661,0.9895833333333334,0.24859681725502014,0.7745024561882019,0.117669977247715
g1,PW_ent,302,26,0.00014540087431669235,0.00015216210158541799,0.984375,0.43368786573410034,0.7145266532897949,0.29934850335121155
g1,PW_ent,302,27,0.00013801397290080786,0.00013923682854510844,0.9895833333333334,0.4919567108154297,0.6765691637992859,0.3349441587924957
g1,PW_ent,302,28,0.00013574979675468057,0.00013863545609638095,0.984375,0.4852268397808075,0.7150235176086426,0.34585466980934143
g1,PW_ent,303,0,0.00020240565936546773,0.00020331182167865336,1.0,0.11167070269584656,0.7492545247077942,0.024656295776367188
g1,PW_ent,303,1,0.00019919210171792656,0.00020041136303916574,1.0,0.15882368385791779,0.7191020846366882,0.040141645818948746
g1,PW_ent,303,2,0.0002038313541561365,0.00020361885253805667,1.0,0.10007187724113464,0.8444921374320984,0.017786206677556038
g1,PW_ent,303,3,0.00020123082504142076,0.0002026840520557016,1.0,0.40447014570236206,0.21470849215984344,0.030317477881908417
g1,PW_ent,303,4,0.00018341436225455254,0.00018730414740275592,1.0,0.3202279806137085,0.5766416192054749,0.11617082357406616
g1,PW_ent,303,5,0.00012635027815122157,0.0001286351471208036,1.0,0.5706121921539307,0.6204930543899536,0.3911486864089966
g1,PW_ent,303,6,0.00020221853628754616,0.0002031634794548154,1.0,0.11149941384792328,0.7891775965690613,0.02555800974369049
g1,PW_ent,303,7,0.00019782614253927022,0.00019909979891963303,1.0,0.1820058822631836,0.6884381771087646,0.04672381281852722
