arm,d,rank,sigma,omega,R,r_rms,product
rank1,2,1,0.2012556255857059,12.189807464475196,0.34616945290886636,1.734722219895108,1.041714296408966
rank1,2,1,0.2012556255857059,16.457795021028378,0.18889608852119674,2.3420959328347104,1.0361731273616293
rank1,2,1,0.2717207669088465,2.717207669088465,5.0768018876352485,0.5164143167936663,1.3539005480870574
rank1,2,1,0.2717207669088465,3.6685769629872937,2.743672111830351,0.7109812330958182,1.3869106515015266
rank1,2,1,0.2717207669088465,4.953046867365847,1.3348630496509253,0.9546747442885393,1.2165993458777016
rank1,2,1,0.2717207669088465,6.687245086537825,0.6647042243375579,1.2848739505308397,1.0973609143633265
rank1,2,1,0.2717207669088465,9.028633898472895,0.3455664052738842,1.7347228454483363,1.0399003185617697
rank1,2,1,0.2717207669088465,12.189807464475196,0.18843836357111277,2.3420959329401865,1.0336623168989756
rank1,2,1,0.3668576962987294,2.012556255857059,5.3908531838423155,0.5294413177280504,1.51109986141534
rank1,2,1,0.3668576962987294,2.717207669088465,2.6624941307121555,0.7017394468975322,1.3111139539097523
rank1,2,1,0.3668576962987294,3.6685769629872937,1.3387221945544907,0.9532606153503737,1.2165046238221517
rank1,2,1,0.3668576962987294,4.953046867365847,0.6583427989608759,1.2850643151478875,1.0871809083725696
rank1,2,1,0.3668576962987294,6.687245086537825,0.34619734966592963,1.7347220580842115,1.0417980506839735
rank1,2,1,0.3668576962987294,9.028633898472895,0.188296912929221,2.3420959329823687,1.0328864016954953
rank1,2,1,0.4953046867365847,1.4906415615808106,4.820640592760907,0.5060026048362459,1.2342702425039374
rank1,2,1,0.4953046867365847,2.012556255857059,2.718334592505311,0.7089039338074511,1.366084879784788
rank1,2,1,0.4953046867365847,2.717207669088465,1.3476528962429368,0.9508328951640881,1.2183903355476944
rank1,2,1,0.4953046867365847,3.6685769629872937,0.6593088137334604,1.2849676432711845,1.0886123706407183
rank1,2,1,0.4953046867365847,4.953046867365847,0.3463899204804892,1.7347231804642556,1.0423788953074136
rank1,2,1,0.4953046867365847,6.687245086537825,0.18872820104679966,2.342095932929276,1.0352521952504297
rank1,2,1,0.6687245086537824,1.1040746109061288,5.686040730858374,0.5405640283680079,1.6615149413428274
rank1,2,1,0.6687245086537824,1.4906415615808106,2.6000075872862145,0.6959380013371073,1.2592608991812966
rank1,2,1,0.6687245086537824,2.012556255857059,1.3369590998965402,0.9527171714205921,1.2135176778609131
rank1,2,1,0.6687245086537824,2.717207669088465,0.6667205633115726,1.2848013620552188,1.1005653279346972
rank1,2,1,0.6687245086537824,3.6685769629872937,0.3451167733879271,1.7347226105125082,1.0385469765024729
rank1,2,1,0.6687245086537824,4.953046867365847,0.18875787395898175,2.342095933004959,1.035414963506232
rank1,2,1,0.9028633898472894,0.8177557756774221,5.546746788552913,0.5359007980936675,1.5929683542487794
rank1,2,1,0.9028633898472894,1.1040746109061288,2.781313140031575,0.714936000695944,1.42162227839404
rank1,2,1,0.9028633898472894,1.4906415615808106,1.3439200844618486,0.9492958238663451,1.2110904653753105
rank1,2,1,0.9028633898472894,2.012556255857059,0.6614172566484727,1.2849304563020176,1.0920304994852266
rank1,2,1,0.9028633898472894,2.717207669088465,0.34626226514340297,1.734721630062665,1.04199288407558
rank1,2,1,0.9028633898472894,3.6685769629872937,0.18881820470835992,2.3420959329665263,1.0357459025708613
rank1,2,1,1.2189807464475195,0.6056877878071585,5.376020191497511,0.5291910096673677,1.5055174929458965
rank1,2,1,1.2189807464475195,0.8177557756774221,2.7489585203452265,0.7124167110052347,1.3951997277753567
rank1,2,1,1.2189807464475195,1.1040746109061288,1.3374275731566412,0.9542916214612776,1.2179585099988013
rank1,2,1,1.2189807464475195,1.4906415615808106,0.6704494978353247,1.2846958755870457,1.1065390109200623
rank1,2,1,1.2189807464475195,2.012556255857059,0.3452970600196615,1.7347223912566276,1.0390892436428207
rank1,2,1,1.2189807464475195,2.717207669088465,0.18809421555217054,2.3420959329004134,1.031774522723321
rank1,2,1,1.6457795021028379,0.4486152311120365,5.273945397015311,0.5248271944876471,1.4526744223632835
