ckpt,c,state,state_source,N_state,z2_dim0,z2_dim1,z2_dim2,z2_dim3,z2_dim4,z2_dim5
WML,0.05,34,WML,37824.323832,-9997.500238,20635.400578,-3613.702191,33077.527022,0.000000,-2277.401340
WML,0.05,35,WML,-3698.985440,284.697856,1488.851439,-2198.584995,-2484.151353,-346.454895,-443.343493
WML,0.05,36,WML,22280.224218,-24043.324976,569.047461,0.000000,31213.766746,9672.721850,4868.013137
WML,0.05,37,WML,-9745.940112,-3128.447170,0.000000,0.000000,-274.037605,-6895.327351,551.872012
WML,0.05,38,WML,5504.905665,2715.906271,1567.198458,-871.903865,-954.241621,-12.498397,3060.444819
WML,0.05,39,WML,-1405.775893,-2677.619039,-581.648459,0.000000,0.000000,1292.237060,561.254546
WML,0.05,40,WML,-8866.044471,-9028.295081,-3306.057777,-4612.489750,8556.597932,604.492593,-1080.292389
WML,0.05,41,WML,12924.806808,2696.987772,2654.052906,-6205.071546,9718.042190,4924.832655,-864.037168
WML,0.05,42,WML,-13465.351588,-7420.237225,-461.417068,-78.721317,-3755.098059,-2125.193955,375.316036
WML,0.05,43,WML,-6418.242812,521.394825,-3897.679280,-275.983074,-2100.772345,-686.543749,21.340812
WML,0.05,44,WML,951.140866,1829.220047,-4367.538328,77.125910,1470.698907,1952.507338,-10.873007
WML,0.05,45,WML,28811.289158,-11999.008447,2105.489625,-1776.225237,38042.740447,-820.290453,3258.583223
WML,0.05,46,WML,-8561.803469,-6343.464341,-1497.761013,-1160.494210,0.000000,-6722.094775,7162.010870
WML,0.05,47,WML,44533.744345,14290.980709,326.156351,32.468816,-281.919050,27207.264974,2958.792546
WML,0.05,48,WML,-965.794720,-2848.660935,-1239.364984,-172.884187,-631.954219,4280.124284,-353.054678
WML,0.05,49,WML,1303.708759,1890.159030,0.000000,-5839.641490,-31.652987,-380.192827,5665.037033
WML,0.05,50,WML,-4616.325262,0.000000,-3091.574594,-773.770942,354.858764,-467.639043,-638.199447
WML,0.05,51,WML,18115.276579,-3440.576153,329.471957,-7860.043286,-226.089105,24827.011250,4485.501916
WML,0.05,52,WML,-16333.564467,-3957.833472,381.018255,5015.696719,-1522.651102,-14118.147997,-2131.646871
WML,0.05,53,WML,-3214.728523,-1488.105835,-901.633542,2462.815898,-1104.333683,-7344.642457,5161.171098
WML,0.05,54,WML,7321.155529,198.309891,1600.091748,-738.283769,445.380147,3696.105077,2119.552436
WML,0.05,55,WML,-42189.687589,2691.809358,-8401.251947,7738.572976,-20320.903161,-11758.814499,-12139.100316
WML,0.05,56,WML,-3546.441430,-3516.438487,137.761929,-253.215759,41.593269,0.000000,43.857618
WML,0.05,57,WML,-13599.946231,-21212.042394,0.000027,3277.208191,4725.038115,30.981159,-421.131329
WML,0.05,58,WML,10046.528223,79.764159,2069.390498,1497.098469,6462.864025,0.000000,-62.588928
WML,0.05,59,WML,-3596.258582,737.637874,-793.052279,177.986599,-771.232956,-163.019641,-2784.578180
WML,0.05,60,WML,-9431.296144,-3950.499596,964.034949,894.683331,-191.724941,-6032.440478,-1115.349409
WML,0.05,61,WML,13979.586390,-2056.489724,796.109158,0.000000,-1471.220198,17503.018801,-791.831648
WML,0.05,62,WML,58518.893469,1287.052460,19570.239930,-12554.374445,10874.748774,36654.612987,2686.613764
WML,0.05,63,WML,-4194.854883,-929.470826,-1117.254109,0.000000,-2032.026244,0.000004,-116.103709
